Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes chèques Nombre,Comptes chèques Montant,Comptes d'épargne Nombre,Comptes d'épargne  Montant,Dépôts à terme  Nombre,Dépôts à terme  Montant,Autres comptes Nombre,Autres comptes Montant, Total des comptes Nombre,Total des comptes Montant,Code GPS X,Code GPS Y
0020,,825,,TEMARA AL WIFAK               ," 1,201   "," 14,445   "," 1,622   "," 21,465   ", 1   , 125   , -     , -     ," 2,824   "," 36,035   ",-6.93448,33.920192
0021,,825,,TEMARA CAVALERIE              , -     , -     , 2   , 0   , -     , -     , -     , -     , 2   , 0   ,-6.915110,33.925971
0022,,826,,EL HARHOURA                   ," 1,308   "," 27,458   "," 2,169   "," 27,602   ", -     , -     , -     , -     ," 3,477   "," 55,061   ",-6.958883,33.925958
0023,,827,,AIN ATTIG                     , 200   ," 1,568   ", 193   ," 1,320   ", -     , -     , -     , -     , 393   ," 2,888   ",-6.950136,33.89835
0024,,815,,SALE TABRIQUET                ," 9,951   "," 69,271   "," 20,898   "," 154,656   ", 2   , 242   , -     , -     ," 30,851   "," 224,169   ",-6.806945,34.045066
0025,,815,,SALE MAAMOURA                 ," 2,085   "," 8,932   ", 131   , 745   , -     , -     , -     , -     ," 2,216   "," 9,677   ",-6.734131,34.04225
0026,,810,,RABAT PLACE D'ARMES           , 320   ," 1,253   ", 113   , 7   , -     , -     , -     , -     , 433   ," 1,260   ",-6.853323,34.007624
0027,,815,,SALE 1ERE BAFRA               ," 1,642   "," 13,037   ", 93   ," 1,111   ", -     , -     , -     , -     ," 1,735   "," 14,148   ",-6.77187,34.042134
0028,,815,,SALE MOHAMMADI                ," 3,896   "," 27,443   "," 5,723   "," 54,400   ", -     , -     , -     , -     ," 9,619   "," 81,844   ",-6.7839101,34.0467324
0029,,815,,SALE 1 BATAILLON DU SERVICE DE, 318   ," 2,291   ", -     , -     , -     , -     , -     , -     , 318   ," 2,291   ",-6.824892,34.034717
0030,,815,,SALE MLY ISMAIL               , 483   ," 2,884   "," 1,047   "," 9,761   ", -     , -     , -     , -     ," 1,530   "," 12,645   ",-6.7805949,34.0303515
0031,,810,,RABAT AGDAL                   ," 9,101   "," 55,169   "," 9,033   "," 71,571   ", -     , -     , -     , -     ," 18,134   "," 126,740   ",-6.8451956,34.0006478
0032,,810,,RABAT GARE                    , -     , -     , 1   , 0   , -     , -     , -     , -     , 1   , 0   ,-6.8357867,34.016485
0033,,810,,RABAT CHELLAH                 ," 3,208   "," 33,950   "," 6,169   "," 42,239   ", 1   ," 4,000   ", -     , -     ," 9,378   "," 80,189   ",-6.828365,34.0107948
0034,,819,,RABAT MECHOUAR                ," 2,696   "," 32,952   "," 3,151   "," 21,452   ", -     , -     , -     , -     ," 5,847   "," 54,403   ",-6.8317983,34.0052895
0035,,810,,RABAT YAACOUB EL MANSOUR      ," 3,087   "," 22,555   "," 10,599   "," 83,454   ", 1   , 180   , -     , -     ," 13,687   "," 106,189   ",-6.8693707,34.0016096
0036,,810,,RABAT TOUR HASSAN             ," 4,624   "," 86,930   "," 10,431   "," 103,242   ", 2   , 820   , -     , -     ," 15,057   "," 190,992   ",-6.827751,34.021189
0037,,810,,RABAT AKKARI                  ," 6,946   "," 57,914   "," 12,014   "," 82,354   ", -     , -     , -     , -     ," 18,960   "," 140,268   ",-6.8592547,34.0110005
0038,,270,,FES PRINCIPAL                 ," 35,297   "," 143,974   "," 27,782   "," 167,300   ", -     , -     , -     , -     ," 63,079   "," 311,274   ",-4.998991,34.041105
0039,,270,,FES AL FADILA                 , 976   ," 6,695   "," 1,264   "," 12,106   ", -     , -     , -     , -     ," 2,240   "," 18,801   ",-5.0449461,34.015068
0040,,270,,FES GARE                      , 348   ," 3,778   ", 223   ," 3,017   ", -     , -     , -     , -     , 571   ," 6,795   ",-5.005458,34.0470457
0041,,270,,FES LES MERINDES              ," 1,922   "," 12,632   "," 3,320   "," 38,862   ", -     , -     , -     , -     ," 5,242   "," 51,494   ",-4.9914784,34.0692759
0042,,270,,FES LOUIZATE                  ," 2,214   "," 21,958   "," 8,402   "," 64,422   ", 3   , 235   , -     , -     ," 10,619   "," 86,614   ",-4.9560625,34.0588771
0043,,270,,FES NARJIS                    ," 10,244   "," 37,662   "," 6,368   "," 50,918   ", 1   , 200   , -     , -     ," 16,613   "," 88,780   ",-4.9735934,34.0171045
0044,,270,,FES FAR                       , 430   ," 1,453   ", 336   ," 1,971   ", -     , -     , -     , -     , 766   ," 3,423   ",-4.981742,34.037724
0045,,281,,RIBT EL KHAIR                 ," 3,520   "," 30,708   "," 4,248   "," 36,730   ", -     , -     , -     , -     ," 7,768   "," 67,438   ",-4.407359,33.814511
0046,,665,,KARIA BA MED                  ," 5,685   "," 37,786   "," 5,487   "," 28,030   ", 2   , 110   , -     , -     ," 11,174   "," 65,927   ",-5.2091718,34.3663764
0047,,675,,TISSA                         ," 1,821   "," 14,455   "," 5,021   "," 25,911   ", -     , -     , -     , -     ," 6,842   "," 40,365   ",-4.6610088,34.2866561
0048,,274,,SIDI HARAZEM                  , 660   ," 5,480   "," 1,640   "," 11,313   ", -     , -     , -     , -     ," 2,300   "," 16,792   ",-4.881816,34.02932
0049,,270,,FES BETHA                     ," 3,372   "," 33,713   "," 11,667   "," 79,372   ", -     , -     , -     , -     ," 15,039   "," 113,085   ",-4.9822945,34.0609869
0050,,270,,FES EL KARAOUIYINE            ," 3,175   "," 26,659   "," 15,618   "," 96,905   ", -     , -     , -     , -     ," 18,793   "," 123,564   ",-4.9737543,34.0655076
0051,,270,,FES FEKHARINE                 ," 4,880   "," 38,927   "," 17,959   "," 109,788   ", 3   , 315   , -     , -     ," 22,842   "," 149,030   ",-4.9638207,34.0639756
0052,,270,,FES JEDID                     ," 5,087   "," 17,142   "," 9,506   "," 59,014   ", -     , -     , -     , -     ," 14,593   "," 76,156   ",-4.9899495,34.0545705
0053,,270,,FES ATLAS                     ," 13,045   "," 61,683   "," 19,594   "," 90,118   ", -     , -     , -     , -     ," 32,639   "," 151,801   ",-4.9942061,34.0322942
0054,,270,,FES AL QODS                   ," 2,916   "," 18,501   "," 4,386   "," 40,948   ", -     , -     , -     , -     ," 7,302   "," 59,448   ",-4.969941,34.018582
0055,,480,,MEKNES PRINCIPAL              ," 28,597   "," 185,701   "," 26,065   "," 163,265   ", -     , -     , -     , -     ," 54,662   "," 348,966   ",-5.5498848,33.897826
0056,,480,,MEKNES KORTOBA                ," 3,543   "," 35,599   "," 3,719   "," 42,796   ", -     , -     , -     , -     ," 7,262   "," 78,395   ",-5.544751,33.8626918
0057,,480,,MEKNES ACADEMIE               ," 2,075   "," 11,532   ", 728   ," 2,309   ", -     , -     , -     , -     ," 2,803   "," 13,840   ",-5.553546,33.872785
0064,,491,,EL HAJEB PLACE D'ARME         ," 1,669   "," 5,935   ", 197   , 676   , -     , -     , -     , -     ," 1,866   "," 6,610   ",-5.367411,33.687684
0065,,480,,MOULAY IDRISS                 ," 1,665   "," 19,034   "," 6,020   "," 49,467   ", -     , -     , -     , -     ," 7,685   "," 68,500   ",-5.520435,34.056973
0066,,481,,BOUFEKRANE                    ," 1,540   "," 12,978   "," 3,875   "," 30,422   ", -     , -     , -     , -     ," 5,415   "," 43,399   ",-5.483492,33.761406
0067,,480,,EL HADJ KADDOUR               ," 1,649   "," 7,730   "," 3,738   "," 27,801   ", 1   , 13   , -     , -     ," 5,388   "," 35,544   ",-5.424312,33.826278
0068,,480,,MEKNES MEDINA                 ," 5,730   "," 44,662   "," 15,968   "," 97,757   ", 1   , 18   , -     , -     ," 21,699   "," 142,437   ",-5.5624321,33.8948115
0069,,480,,MEKNES BNI M'HAMMED           ," 6,546   "," 57,113   "," 16,923   "," 111,253   ", -     , -     , -     , -     ," 23,469   "," 168,366   ",-5.5627741,33.8808497
0070,,492,,AIN TAOUJDATE                 ," 2,648   "," 20,449   "," 9,282   "," 67,715   ", -     , -     , -     , -     ," 11,930   "," 88,164   ",-5.214529,33.937361
0071,,493,,AGOURAI                       ," 2,059   "," 12,835   "," 6,428   "," 47,345   ", -     , -     , -     , -     ," 8,487   "," 60,180   ",-5.587642,33.641553
0072,,494,,SEBAA AIOUN                   ," 2,451   "," 14,262   "," 5,591   "," 30,709   ", -     , -     , -     , -     ," 8,042   "," 44,971   ",-5.373669,33.903563
0073,,570,,OUJDA PPAL                    ," 38,467   "," 130,892   "," 40,740   "," 239,553   ", 1   ," 1,108   ", -     , -     ," 79,208   "," 371,553   ",-1.9146252,34.6842608
0074,,570,,AEREPORT OUJDA ANGAD          , 154   , 202   , 186   , 421   , -     , -     , -     , -     , 340   , 624   ,-1.939516,34.785752
0075,,570,,OUJDA BADR                    ," 1,050   "," 11,566   "," 2,087   "," 19,003   ", -     , -     , -     , -     ," 3,137   "," 30,569   ",-1.921662,34.6740781
0076,,570,,OUJDA MEDINA                  , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,-1.9120141,34.6786319
0077,,570,,OUJDA FAR                     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,-1.9146842,34.6654759
0078,,570,,OUJDA AL QODS                 , 302   ," 2,906   ", 869   ," 8,830   ", -     , -     , -     , -     ," 1,171   "," 11,736   ",-1.9081222,34.670777
0079,,570,,OUJDA MIR ALI                 ," 1,126   "," 13,145   "," 3,170   "," 28,938   ", -     , -     , -     , -     ," 4,296   "," 42,084   ",-1.9303885,34.6795826
0080,,570,,OUJDA Q.INDUSTRIEL            ," 2,188   "," 21,240   "," 4,463   "," 40,057   ", 1   , 500   , -     , -     ," 6,652   "," 61,797   ",-1.9006804,34.6989244
0081,,570,,BENI OUKIL                    , 329   ," 2,294   ", 127   , 662   , -     , -     , -     , -     , 456   ," 2,956   ",-2.001845,34.653423
0082,,570,,OUJDA LES IRIS                ," 2,504   "," 18,410   "," 3,689   "," 29,296   ", 2   , 110   , -     , -     ," 6,195   "," 47,816   ",-1.923388,34.6558524
0083,,570,,OUJDA BOULEVARD MOHAMMED V    , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,-1.914786,34.684327
0084,,576,,AHFIR                         ," 2,944   "," 25,862   "," 15,235   "," 171,034   ", 1   , 102   , -     , -     ," 18,180   "," 196,998   ",-2.0984665,34.9546363
0085,,583,,AIN BENI MATHAR               ," 2,190   "," 14,747   "," 6,530   "," 57,327   ", -     , -     , -     , -     ," 8,720   "," 72,074   ",-2.025047,34.016611
0086,,587,,EL AIOUNE                     ," 2,838   "," 22,241   "," 10,415   "," 96,730   ", 1   , 300   , -     , -     ," 13,254   "," 119,272   ",-2.5062937,34.5839962
0087,,582,,JERADA                        ," 3,739   "," 20,818   "," 6,227   "," 29,216   ", 1   , 60   , -     , -     ," 9,967   "," 50,093   ",-2.1614823,34.3088742
0088,,582,,ZELIJA BOUBKER                , 218   ," 1,482   ", 753   ," 5,069   ", -     , -     , -     , -     , 971   ," 6,550   ",-1.73135,34.478171
0089,,573,,TOUISSITE                     , 613   ," 3,616   "," 2,007   "," 22,375   ", -     , -     , -     , -     ," 2,620   "," 25,991   ",-1.764134,34.479127
0090,,571,,BENI DRAR                     ," 1,379   "," 29,775   "," 4,936   "," 55,720   ", -     , -     , -     , -     ," 6,315   "," 85,495   ",-1.992786,34.858353
0091,,570,,AIN ESSFA                     , 179   ," 1,269   ", 391   ," 4,249   ", -     , -     , -     , -     , 570   ," 5,518   ",-2.141368,34.75056
0092,,582,,AIN EL GUENFOUDA              , 518   ," 2,794   "," 1,253   "," 9,536   ", -     , -     , -     , -     ," 1,771   "," 12,330   ",-2.0449832,34.4839996
0093,,330,,KENITRA PPL                   ," 35,091   "," 123,636   "," 26,527   "," 184,439   ", -     , -     , -     , -     ," 61,618   "," 308,075   ",-6.5819773,34.2609252
0094,,330,,KENITRA ANCIENNE MEDINA       , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,-6.5727961,34.2653687
0095,,330,,KENITRA BOUCHTIA              ," 1,031   "," 4,069   "," 3,867   "," 23,134   ", -     , -     , -     , -     ," 4,898   "," 27,203   ",-6.5589331,34.2643157
0096,,330,,KENITRA V HAUTE               , -     , -     , 3   , 133   , -     , -     , -     , -     , 3   , 133   ,-6.5930737,34.2650727
0097,,330,,KENITRA FAR                   ," 1,201   "," 5,517   ", 93   , 556   , -     , -     , -     , -     ," 1,294   "," 6,073   ",-6.604843,34.289346
0098,,330,,KENITRA 3EME BAFRA            ," 1,989   "," 11,531   ", 314   ," 3,307   ", -     , -     , -     , -     ," 2,303   "," 14,838   ",-6.605004,34.289187
0099,,330,,KENITRA EL MENZEH             , 501   ," 2,298   "," 1,277   "," 11,670   ", -     , -     , -     , -     ," 1,778   "," 13,968   ",-6.5210912,34.2522692
0100,,330,,KENITRA MAGHRIB AL ARABI      , 828   ," 4,523   "," 2,614   "," 15,346   ", -     , -     , -     , -     ," 3,442   "," 19,868   ",-6.6107105,34.2435925
0101,,810,,RABAT HAOUZIA                 ," 1,601   "," 14,861   "," 2,388   "," 20,074   ", -     , -     , -     , -     ," 3,989   "," 34,935   ",-6.6160709,34.2661012
0102,,332,,SIDI YAHIA GHARB              ," 4,266   "," 11,050   "," 11,641   "," 70,534   ", 2   , 80   , -     , -     ," 15,909   "," 81,664   ",-6.3078046,34.3098556
0103,,332,,S.YAHYA DU GHARB B.MILITAIRE  , -     , -     , 26   , 4   , -     , -     , -     , -     , 26   , 4   ,-6.271434,34.297678
0104,,340,,ALLAL TAZI                    ," 1,771   "," 5,989   "," 4,139   "," 17,406   ", -     , -     , -     , -     ," 5,910   "," 23,394   ",-6.323774,34.52174
0105,,337,,DAR GUEDDARI                  ," 1,631   "," 6,010   "," 3,300   "," 23,132   ", 1   , 20   , -     , -     ," 4,932   "," 29,163   ",-6.0914362,34.4196906
0106,,330,,KENITRA NOUVELLE MEDINA       ," 3,558   "," 22,197   "," 11,639   "," 67,567   ", -     , -     , -     , -     ," 15,197   "," 89,764   ",-6.5611929,34.2589822
0107,,480,,AIN JEMAA                     , 646   ," 3,889   "," 1,953   "," 13,309   ", -     , -     , -     , -     ," 2,599   "," 17,198   ",-5.7976753,34.0275707
0108,,330,,KENITRA AL MASSIRA            ," 4,968   "," 18,266   "," 12,982   "," 61,878   ", 1   , 70   , -     , -     ," 17,951   "," 80,214   ",-6.55679,34.248575
0109,,270,,FES AIN KADOUS                ," 3,059   "," 23,575   "," 9,478   "," 64,938   ", -     , -     , -     , -     ," 12,537   "," 88,513   ",-5.0089073,34.0614058
0110,,276,,SEBA ROUADI                   , 532   ," 4,537   "," 1,009   "," 7,311   ", -     , -     , -     , -     ," 1,541   "," 11,847   ",-5.101164,34.033206
0111,,270,,FES SIDI BRAHIM               ," 7,376   "," 32,141   "," 11,211   "," 65,650   ", -     , -     , -     , -     ," 18,587   "," 97,791   ",-4.987101,34.027042
0112,,810,,RABAT SOUISSI                 ," 7,087   "," 51,830   "," 24,298   "," 165,796   ", -     , -     , -     , -     ," 31,385   "," 217,626   ",-6.8266672,33.9835942
0113,,121,,BOUZNIKA                      ," 3,258   "," 25,130   "," 9,650   "," 90,913   ", -     , -     , -     , -     ," 12,908   "," 116,044   ",-7.1611065,33.7884078
0114,,121,,BOUZNKA HAY RIAD              , 470   ," 1,685   ", 467   ," 4,128   ", -     , -     , -     , -     , 937   ," 5,812   ",-7.158199,33.780226
0115,,822,,AIN AOUDA                     ," 3,723   "," 16,823   "," 9,336   "," 83,044   ", 2   , 260   , -     , -     ," 13,061   "," 100,127   ",-6.790836,33.80619
0116,,825,,TEMARA BASSATINE EL MENZEH    , 995   ," 12,703   ", 881   ," 13,316   ", -     , -     , -     , -     ," 1,876   "," 26,019   ",-6.853556,33.856914
0117,,815,,SALE HAY ESSALAM              ," 7,352   "," 78,659   "," 18,270   "," 135,171   ", 6   , 745   , -     , -     ," 25,628   "," 214,575   ",-6.7926742,34.0407127
0118,,810,,RABAT MADINAT AL IRFANE       ," 5,260   "," 59,558   "," 6,791   "," 29,720   ", -     , -     , -     , -     ," 12,051   "," 89,277   ",-6.8664471,33.9810031
0119,,821,,SKHIRATE                      ," 4,711   "," 30,263   "," 10,206   "," 87,562   ", -     , -     , -     , -     ," 14,917   "," 117,825   ",-7.03893,33.851836
0120,,821,,SKHIRATE PARA (FAR)           , 150   , 483   , 102   , 15   , -     , -     , -     , -     , 252   , 498   ,-7.06257,33.861128
0121,,824,,BOUKNADEL                     ," 3,277   "," 16,582   "," 7,982   "," 52,583   ", -     , -     , -     , -     ," 11,259   "," 69,165   ",-6.739635,34.121913
0122,,124,,SIDI YAHIA ZAERS              ," 2,679   "," 13,846   "," 6,445   "," 48,118   ", 1   , 80   , -     , -     ," 9,125   "," 62,043   ",-6.90465,33.826202
0123,,810,,RABAT AL-INBIAT               ," 3,756   "," 23,198   "," 9,454   "," 83,601   ", -     , -     , -     , -     ," 13,210   "," 106,799   ",-6.810644,33.992321
0124,,272,,AIN CHEGAG                    , 634   ," 4,306   "," 2,954   "," 12,708   ", -     , -     , -     , -     ," 3,588   "," 17,014   ",-5.041861,33.8821423
0125,,281,,EL MENZEL                     ," 4,043   "," 32,812   "," 6,873   "," 51,387   ", 2   , 127   , -     , -     ," 10,918   "," 84,325   ",-4.545524,33.837959
0126,,276,,MOULAY YACOUB                 , 374   ," 1,441   "," 1,336   "," 6,033   ", -     , -     , -     , -     ," 1,710   "," 7,474   ",-5.178536,34.088653
0127,,283,,RAS TABOUDA                   , 658   ," 3,622   "," 1,801   "," 14,988   ", -     , -     , -     , -     ," 2,459   "," 18,609   ",-4.7138,34.004089
0128,,673,,TAFRANT                       , 363   ," 1,838   "," 1,118   "," 10,590   ", -     , -     , -     , -     ," 1,481   "," 12,428   ",-5.124728,34.623982
0129,,281,,BIR TAMTAM                    , 670   ," 6,660   "," 1,153   "," 10,759   ", -     , -     , -     , -     ," 1,823   "," 17,418   ",-4.643885,33.982306
0130,,276,,SIDI AHMED EL BERNOUSSI       , 37   , 150   , 471   ," 3,714   ", -     , -     , -     , -     , 508   ," 3,864   ",-4.997618,34.112457
0131,,287,,EL ADERJ                      , 159   ," 1,740   ", 507   ," 3,791   ", -     , -     , -     , -     , 666   ," 5,531   ",-4.432053,33.6315
0132,,270,,FES DOKKARAT                  ," 3,410   "," 32,616   "," 7,839   "," 59,946   ", -     , -     , -     , -     ," 11,249   "," 92,562   ",-5.0190032,34.0411428
0133,,283,,TABOUDA                       , 222   ," 1,272   "," 1,099   "," 9,427   ", -     , -     , -     , -     ," 1,321   "," 10,699   ",-5.135862,34.735419
0134,,810,,RABAT DAR EL HADITH           ," 2,955   "," 30,510   "," 5,725   "," 40,179   ", -     , -     , -     , -     ," 8,680   "," 70,689   ",-6.8489081,34.0161729
0135,,810,,RABAT RYAD                    ," 3,738   "," 91,407   "," 7,047   "," 98,838   ", 1   , 223   , -     , -     ," 10,786   "," 190,468   ",-6.8604926,33.9634694
0136,,270,,FES JNANATE                   ," 4,469   "," 40,965   "," 15,003   "," 86,009   ", 2   , 270   , -     , -     ," 19,474   "," 127,244   ",-4.9651659,34.0697959
0137,,815,,SALE SIDI MOUSSA              ," 4,802   "," 33,242   "," 12,285   "," 97,064   ", -     , -     , -     , -     ," 17,087   "," 130,306   ",-6.8104425,34.0538572
0138,,330,,MEHDYA                        ," 3,126   "," 16,478   "," 4,819   "," 35,509   ", -     , -     , -     , -     ," 7,945   "," 51,987   ",-6.6659492,34.2606703
0139,,815,,SALE BETTANA                  ," 2,841   "," 31,045   "," 8,274   "," 66,682   ", -     , -     , -     , -     ," 11,115   "," 97,727   ",-6.8088466,34.0296335
0140,,815,,"SALE K,O,MOUSSA               "," 4,829   "," 34,050   "," 15,568   "," 98,501   ", 1   , 300   , -     , -     ," 20,398   "," 132,851   ",-6.767144,34.02095
0141,,270,,FES BENSOUDA                  ," 7,389   "," 35,045   "," 24,855   "," 122,078   ", 1   , 45   , -     , -     ," 32,245   "," 157,169   ",-5.0539899,34.0171267
0142,,810,,RABAT AL MASSIRA              ," 18,605   "," 79,269   "," 21,272   "," 136,620   ", -     , -     , -     , -     ," 39,877   "," 215,889   ",-6.8869727,33.9770429
0143,,810,,RABAT NATIONS UNIES           ," 4,729   "," 44,752   "," 5,259   "," 54,129   ", 2   ," 1,160   ", -     , -     ," 9,990   "," 100,041   ",-6.8456827,33.9939411
0144,,825,,TEMARRA MASSIRA               ," 5,370   "," 50,908   "," 16,834   "," 131,705   ", -     , -     , -     , -     ," 22,204   "," 182,613   ",-6.8977726,33.9266164
0145,,810,,RABAT ENNAHDA                 ," 3,954   "," 44,935   "," 8,337   "," 59,213   ", 1   ," 1,000   ", -     , -     ," 12,292   "," 105,148   ",-6.8180493,33.9772197
0146,,810,,RABAT OCEAN                   ," 7,290   "," 92,160   "," 8,026   "," 62,619   ", -     , -     , -     , -     ," 15,316   "," 154,779   ",-6.8454185,34.0238071
0147,,270,,FES AL ADARISSA               ," 5,052   "," 39,359   "," 9,924   "," 71,976   ", -     , -     , -     , -     ," 14,976   "," 111,335   ",-5.0112704,34.019032
0148,,815,,SALA AL JADIDA                ," 15,009   "," 63,115   "," 10,665   "," 61,837   ", 2   , 353   , -     , -     ," 25,676   "," 125,304   ",-6.744174,33.99865
0149,,810,,RABAT HAY EL KHEIR            ," 3,648   "," 40,253   "," 10,511   "," 91,171   ", -     , -     , -     , -     ," 14,159   "," 131,424   ",-6.8743542,33.9974557
0150,,815,,SALE LâAYAYDA                 ," 5,131   "," 30,198   "," 14,600   "," 106,879   ", -     , -     , -     , -     ," 19,731   "," 137,077   ",-6.7727548,34.062028
0151,,815,,SALE BAB CHAFAA               ," 2,546   "," 17,306   "," 6,586   "," 47,497   ", -     , -     , -     , -     ," 9,132   "," 64,803   ",-6.8274102,34.0419985
0152,,270,,FES ZOHOR SAIS                ," 11,302   "," 54,592   "," 9,169   "," 67,596   ", -     , -     , -     , -     ," 20,471   "," 122,188   ",-4.9802345,34.0105502
0153,,270,,FES SOUNDOUS                  ," 2,652   "," 34,559   "," 5,075   "," 58,841   ", 1   , 102   , -     , -     ," 7,728   "," 93,501   ",-5.0325778,34.0583749
0154,,485,,AIN LEUH                      ," 1,127   "," 8,410   "," 2,751   "," 19,732   ", 1   , 91   , -     , -     ," 3,879   "," 28,233   ",-5.337145,33.28588
0155,,420,,SIDI ADDI                     , 955   ," 4,168   "," 3,206   "," 19,176   ", -     , -     , -     , -     ," 4,161   "," 23,344   ",-5.334021,33.396246
0156,,810,,RABAT DIOUR JAMAA             ," 2,444   "," 30,629   "," 1,682   "," 22,556   ", 1   , 30   , -     , -     ," 4,127   "," 53,215   ",-6.8480793,34.0139975
0157,,810,,RABAT AL MANZAH               ," 1,518   "," 22,659   "," 1,561   "," 23,000   ", 2   ," 2,000   ", -     , -     ," 3,081   "," 47,659   ",-6.8960895,33.9719614
0158,,480,,MEKNES AL MANSOUR             ," 4,230   "," 31,583   "," 4,403   "," 51,017   ", -     , -     , -     , -     ," 8,633   "," 82,599   ",-5.576849,33.8663644
0159,,480,,MEKNES HAY ECHOUHADA          ," 2,991   "," 37,025   "," 3,321   "," 40,971   ", 1   , 70   , -     , -     ," 6,313   "," 78,066   ",-5.5038661,33.8908996
0160,,425,,AZROU AHADAF                  ," 3,734   "," 35,935   "," 7,652   "," 53,279   ", -     , -     , -     , -     ," 11,386   "," 89,214   ",-5.2286232,33.4440875
0161,,425,,AZROU PRINCIPAL               ," 3,417   "," 25,261   "," 10,890   "," 53,939   ", -     , -     , -     , -     ," 14,307   "," 79,201   ",-5.219284,33.4440584
0162,,388,,MRIRT                         ," 6,425   "," 37,208   "," 9,845   "," 66,076   ", -     , -     , -     , -     ," 16,270   "," 103,284   ",-5.566442,33.1671751
0163,,388,,MRIRT BOULACHFAR              , -     , -     , 1   , 0   , -     , -     , -     , -     , 1   , 0   ,-5.569328,33.161530
0164,,380,,EL HAMMAM                     , 43   , 296   , 239   , 888   , -     , -     , -     , -     , 282   ," 1,184   ",-5.470049,33.175042
0165,,427,,TIMAHDITE                     , 561   ," 2,031   "," 1,237   "," 6,209   ", -     , -     , -     , -     ," 1,798   "," 8,240   ",-5.059105,33.236772
0166,,810,,RABAT ANNAKHIL                ," 8,741   "," 66,941   "," 4,086   "," 56,340   ", 4   , 510   , -     , -     ," 12,831   "," 123,791   ",-6.864595,33.954417
0167,,218,,ERFOUD                        ," 5,575   "," 67,093   "," 8,132   "," 40,709   ", -     , -     , -     , -     ," 13,707   "," 107,802   ",-4.234211,31.434348
