Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes courants TPE Nombre,Comptes courants TPE Montant,Comptes courants PME Nombre,Comptes courants PME Montant,Comptes courants GE Nombre,Comptes courants GE Montant,Comptes courants Entrepreneurs individuels Nombre,Comptes courants Entrepreneurs individuels Montant,Comptes courants Total Nombre,Comptes courants Total Montant,Dépôts à terme TPE Nombre,Dépôts à terme TPE Montant,Dépôts à terme PME Nombre,Dépôts à terme PME Montant,Dépôts à terme GE Nombre,Dépôts à terme GE Montant,Dépôts à terme Entrepreneurs individuels Nombre,Dépôts à terme Entrepreneurs individuels Montant,Dépôts à terme Total Nombre,Dépôts à terme Total Montant,Code GPS X,Code GPS Y
0029,,815,,SALE 1 BATAILLON DU SERVICE DE,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.824892,34.034717
0030,,815,,SALE MLY ISMAIL               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.7805949,34.0303515
0031,,810,,RABAT AGDAL                   ,,,,, 17   , 222   ,,, 17   , 222   ,,,,,,,,,,,-6.8451956,34.0006478
0032,,810,,RABAT GARE                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.8357867,34.016485
0033,,810,,RABAT CHELLAH                 ,,,,, 2   , 8   ,,, 2   , 8   ,,,,,,,,,,,-6.828365,34.0107948
0034,,819,,RABAT MECHOUAR                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.8317983,34.0052895
0035,,810,,RABAT YAACOUB EL MANSOUR      ,,,,, 1   , -     ,,, 1   , -     ,,,,,,,,,,,-6.8693707,34.0016096
0036,,810,,RABAT TOUR HASSAN             ,,,,, 18   , 380   ,,, 18   , 380   ,,,,,,,,,,,-6.827751,34.021189
0037,,810,,RABAT AKKARI                  ,,,,, 1   , 27   ,,, 1   , 27   ,,,,,,,,,,,-6.8592547,34.0110005
0038,,270,,FES PRINCIPAL                 ,,,,, 28   , 665   ,,, 28   , 665   ,,,,,,,,,,,-4.998991,34.041105
0039,,270,,FES AL FADILA                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.0449461,34.015068
0040,,270,,FES GARE                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.005458,34.0470457
0041,,270,,FES LES MERINDES              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.9914784,34.0692759
0042,,270,,FES LOUIZATE                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.9560625,34.0588771
0043,,270,,FES NARJIS                    ,,,,, 3   , 5   ,,, 3   , 5   ,,,,,,,,,,,-4.9735934,34.0171045
0044,,270,,FES FAR                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.981742,34.037724
0045,,281,,RIBT EL KHAIR                 ,,,,, 1   , 3   ,,, 1   , 3   ,,,,,,,,,,,-4.407359,33.814511
0046,,665,,KARIA BA MED                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.2091718,34.3663764
0047,,675,,TISSA                         ,,,,, 3   , 3   ,,, 3   , 3   ,,,,,,,,,,,-4.6610088,34.2866561
0048,,274,,SIDI HARAZEM                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.881816,34.02932
0049,,270,,FES BETHA                     ,,,,, 4   , 8   ,,, 4   , 8   ,,,,,,,,,,,-4.9822945,34.0609869
0050,,270,,FES EL KARAOUIYINE            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.9737543,34.0655076
0051,,270,,FES FEKHARINE                 ,,,,, 1   , -     ,,, 1   , -     ,,,,,,,,,,,-4.9638207,34.0639756
0052,,270,,FES JEDID                     ,,,,, 3   , 0   ,,, 3   , 0   ,,,,,,,,,,,-4.9899495,34.0545705
0053,,270,,FES ATLAS                     ,,,,, 8   ," 2,226   ",,, 8   ," 2,226   ",,,,,,,,,,,-4.9942061,34.0322942
0054,,270,,FES AL QODS                   ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-4.969941,34.018582
0055,,480,,MEKNES PRINCIPAL              ,,,,, 30   , 461   ,,, 30   , 461   ,,,,,,,,,,,-5.5498848,33.897826
0056,,480,,MEKNES KORTOBA                ,,,,, 2   , 16   ,,, 2   , 16   ,,,,,,,,,,,-5.544751,33.8626918
0057,,480,,MEKNES ACADEMIE               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.553546,33.872785
0064,,491,,EL HAJEB PLACE D'ARME         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.367411,33.687684
0065,,480,,MOULAY IDRISS                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.520435,34.056973
0066,,481,,BOUFEKRANE                    ,,,,, 2   , 140   ,,, 2   , 140   ,,,,,,,,,,,-5.483492,33.761406
0067,,480,,EL HADJ KADDOUR               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.424312,33.826278
0068,,480,,MEKNES MEDINA                 ,,,,, 9   ," 1,370   ",,, 9   ," 1,370   ",,,,,,,,,,,-5.5624321,33.8948115
0069,,480,,MEKNES BNI M'HAMMED           ,,,,, 5   , 48   ,,, 5   , 48   ,,,,,,,,,,,-5.5627741,33.8808497
0070,,492,,AIN TAOUJDATE                 ,,,,, 1   , 16   ,,, 1   , 16   ,,,,,,,,,,,-5.214529,33.937361
0071,,493,,AGOURAI                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.587642,33.641553
0072,,494,,SEBAA AIOUN                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.373669,33.903563
0073,,570,,OUJDA PPAL                    ,,,,, 28   , 238   ,,, 28   , 238   ,,,,,,,,,,,-1.9146252,34.6842608
0074,,570,,AEREPORT OUJDA ANGAD          ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.939516,34.785752
0075,,570,,OUJDA BADR                    ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-1.921662,34.6740781
0076,,570,,OUJDA MEDINA                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.9120141,34.6786319
0077,,570,,OUJDA FAR                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.9146842,34.6654759
0078,,570,,OUJDA AL QODS                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.9081222,34.670777
0079,,570,,OUJDA MIR ALI                 ,,,,, 1   , 10   ,,, 1   , 10   ,,,,,,,,,,,-1.9303885,34.6795826
0080,,570,,OUJDA Q.INDUSTRIEL            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.9006804,34.6989244
0081,,570,,BENI OUKIL                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.001845,34.653423
0082,,570,,OUJDA LES IRIS                ,,,,, 2   , 0   ,,, 2   , 0   ,,,,,,,,,,,-1.923388,34.6558524
0083,,570,,OUJDA BOULEVARD MOHAMMED V    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.914786,34.684327
0084,,576,,AHFIR                         ,,,,, 2   , 81   ,,, 2   , 81   ,,,,,,,,,,,-2.0984665,34.9546363
0085,,583,,AIN BENI MATHAR               ,,,,, 2   , 2   ,,, 2   , 2   ,,,,,,,,,,,-2.025047,34.016611
0086,,587,,EL AIOUNE                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.5062937,34.5839962
0087,,582,,JERADA                        ,,,,, 2   , 7   ,,, 2   , 7   ,,,,,,,,,,,-2.1614823,34.3088742
0088,,582,,ZELIJA BOUBKER                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.73135,34.478171
0089,,573,,TOUISSITE                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.764134,34.479127
0090,,571,,BENI DRAR                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-1.992786,34.858353
0091,,570,,AIN ESSFA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.141368,34.75056
0092,,582,,AIN EL GUENFOUDA              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-2.0449832,34.4839996
0093,,330,,KENITRA PPL                   ,,,,, 29   , 898   ,,, 29   , 898   ,,,,,,,,,,,-6.5819773,34.2609252
0094,,330,,KENITRA ANCIENNE MEDINA       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.5727961,34.2653687
0095,,330,,KENITRA BOUCHTIA              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.5589331,34.2643157
0096,,330,,KENITRA V HAUTE               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.5930737,34.2650727
0097,,330,,KENITRA FAR                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.604843,34.289346
0098,,330,,KENITRA 3EME BAFRA            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.605004,34.289187
0099,,330,,KENITRA EL MENZEH             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.5210912,34.2522692
0100,,330,,KENITRA MAGHRIB AL ARABI      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.6107105,34.2435925
0101,,810,,RABAT HAOUZIA                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.6160709,34.2661012
0102,,332,,SIDI YAHIA GHARB              ,,,,, 3   , 8   ,,, 3   , 8   ,,,,,,,,,,,-6.3078046,34.3098556
0103,,332,,S.YAHYA DU GHARB B.MILITAIRE  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.271434,34.297678
0104,,340,,ALLAL TAZI                    ,,,,, 1   , -     ,,, 1   , -     ,,,,,,,,,,,-6.323774,34.52174
0105,,337,,DAR GUEDDARI                  ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.0914362,34.4196906
0106,,330,,KENITRA NOUVELLE MEDINA       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.5611929,34.2589822
0107,,480,,AIN JEMAA                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.7976753,34.0275707
0108,,330,,KENITRA AL MASSIRA            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.55679,34.248575
0109,,270,,FES AIN KADOUS                ,,,,, 3   , 3   ,,, 3   , 3   ,,,,,,,,,,,-5.0089073,34.0614058
0110,,276,,SEBA ROUADI                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.101164,34.033206
0111,,270,,FES SIDI BRAHIM               ,,,,, 5   , 27   ,,, 5   , 27   ,,,,,,,,,,,-4.987101,34.027042
0112,,810,,RABAT SOUISSI                 ,,,,, 3   , 3   ,,, 3   , 3   ,,,,,,,,,,,-6.8266672,33.9835942
0113,,121,,BOUZNIKA                      ,,,,, 2   , 22   ,,, 2   , 22   ,,,,,,,,,,,-7.1611065,33.7884078
0114,,121,,BOUZNKA HAY RIAD              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-7.158199,33.780226
0115,,822,,AIN AOUDA                     ,,,,, 1   , 2   ,,, 1   , 2   ,,,,,,,,,,,-6.790836,33.80619
0116,,825,,TEMARA BASSATINE EL MENZEH    ,,,,, 3   , 13   ,,, 3   , 13   ,,,,,,,,,,,-6.853556,33.856914
0117,,815,,SALE HAY ESSALAM              ,,,,, 4   , 12   ,,, 4   , 12   ,,,,,,,,,,,-6.7926742,34.0407127
0118,,810,,RABAT MADINAT AL IRFANE       ,,,,, 3   , 51   ,,, 3   , 51   ,,,,,,,,,,,-6.8664471,33.9810031
0119,,821,,SKHIRATE                      ,,,,, 4   , 207   ,,, 4   , 207   ,,,,,,,,,,,-7.03893,33.851836
0120,,821,,SKHIRATE PARA (FAR)           ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-7.06257,33.861128
0121,,824,,BOUKNADEL                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.739635,34.121913
0122,,124,,SIDI YAHIA ZAERS              ,,,,, 2   , 0   ,,, 2   , 0   ,,,,,,,,,,,-6.90465,33.826202
0123,,810,,RABAT AL-INBIAT               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.810644,33.992321
0124,,272,,AIN CHEGAG                    ,,,,, 2   , 4   ,,, 2   , 4   ,,,,,,,,,,,-5.041861,33.8821423
0125,,281,,EL MENZEL                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.545524,33.837959
0126,,276,,MOULAY YACOUB                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.178536,34.088653
0127,,283,,RAS TABOUDA                   ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.7138,34.004089
0128,,673,,TAFRANT                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.124728,34.623982
0129,,281,,BIR TAMTAM                    ,,,,, 1   , 10   ,,, 1   , 10   ,,,,,,,,,,,-4.643885,33.982306
0130,,276,,SIDI AHMED EL BERNOUSSI       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.997618,34.112457
0131,,287,,EL ADERJ                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.432053,33.6315
0132,,270,,FES DOKKARAT                  ,,,,, 6   , 28   ,,, 6   , 28   ,,,,,,,,,,,-5.0190032,34.0411428
0133,,283,,TABOUDA                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.135862,34.735419
0134,,810,,RABAT DAR EL HADITH           ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.8489081,34.0161729
0135,,810,,RABAT RYAD                    ,,,,, 9   , 698   ,,, 9   , 698   ,,,,,,,,,,,-6.8604926,33.9634694
0136,,270,,FES JNANATE                   ,,,,, 1   , 3   ,,, 1   , 3   ,,,,,,,,,,,-4.9651659,34.0697959
0137,,815,,SALE SIDI MOUSSA              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.8104425,34.0538572
0138,,330,,MEHDYA                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.6659492,34.2606703
0139,,815,,SALE BETTANA                  ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.8088466,34.0296335
0140,,815,,"SALE K,O,MOUSSA               ",,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.767144,34.02095
0141,,270,,FES BENSOUDA                  ,,,,, 4   , 22   ,,, 4   , 22   ,,,,,,,,,,,-5.0539899,34.0171267
0142,,810,,RABAT AL MASSIRA              ,,,,, 4   , 331   ,,, 4   , 331   ,,,,,,,,,,,-6.8869727,33.9770429
0143,,810,,RABAT NATIONS UNIES           ,,,,, 8   , 76   ,,, 8   , 76   ,,,,,,,,,,,-6.8456827,33.9939411
0144,,825,,TEMARRA MASSIRA               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.8977726,33.9266164
0145,,810,,RABAT ENNAHDA                 ,,,,, 2   , 282   ,,, 2   , 282   ,,,,,,,,,,,-6.8180493,33.9772197
0146,,810,,RABAT OCEAN                   ,,,,, 8   , 37   ,,, 8   , 37   ,,,,,,,,,,,-6.8454185,34.0238071
0147,,270,,FES AL ADARISSA               ,,,,, 3   , 78   ,,, 3   , 78   ,,,,,,,,,,,-5.0112704,34.019032
0148,,815,,SALA AL JADIDA                ,,,,, 3   , 69   ,,, 3   , 69   ,,,,,,,,,,,-6.744174,33.99865
0149,,810,,RABAT HAY EL KHEIR            ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.8743542,33.9974557
0150,,815,,SALE LâAYAYDA                 ,,,,, 3   , 2   ,,, 3   , 2   ,,,,,,,,,,,-6.7727548,34.062028
0151,,815,,SALE BAB CHAFAA               ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-6.8274102,34.0419985
0152,,270,,FES ZOHOR SAIS                ,,,,, 8   , 19   ,,, 8   , 19   ,,,,,,,,,,,-4.9802345,34.0105502
0153,,270,,FES SOUNDOUS                  ,,,,, 1   , 130   ,,, 1   , 130   ,,,,,,,,,,,-5.0325778,34.0583749
0154,,485,,AIN LEUH                      ,,,,, 2   , 51   ,,, 2   , 51   ,,,,,,,,,,,-5.337145,33.28588
0155,,420,,SIDI ADDI                     ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.334021,33.396246
0156,,810,,RABAT DIOUR JAMAA             ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.8480793,34.0139975
0157,,810,,RABAT AL MANZAH               ,,,,, 3   , 19   ,,, 3   , 19   ,,,,,,,,,,,-6.8960895,33.9719614
0158,,480,,MEKNES AL MANSOUR             ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.576849,33.8663644
0159,,480,,MEKNES HAY ECHOUHADA          ,,,,, 1   , 1   ,,, 1   , 1   ,,,,,,,,,,,-5.5038661,33.8908996
0160,,425,,AZROU AHADAF                  ,,,,, 5   , 17   ,,, 5   , 17   ,,,,,,,,,,,-5.2286232,33.4440875
0161,,425,,AZROU PRINCIPAL               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.219284,33.4440584
0162,,388,,MRIRT                         ,,,,, 3   , 34   ,,, 3   , 34   ,,,,,,,,,,,-5.566442,33.1671751
0163,,388,,MRIRT BOULACHFAR              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.569328,33.161530
0164,,380,,EL HAMMAM                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.470049,33.175042
0165,,427,,TIMAHDITE                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.059105,33.236772
0166,,810,,RABAT ANNAKHIL                ,,,,, 13   , 287   ,,, 13   , 287   ,,,,,,,,,,,-6.864595,33.954417
0167,,218,,ERFOUD                        ,,,,, 4   , 79   ,,, 4   , 79   ,,,,,,,,,,,-4.234211,31.434348
0168,,235,,RISSANI                       ,,,,, 4   , 48   ,,, 4   , 48   ,,,,,,,,,,,-4.269374,31.283218
0169,,211,,AOUFOUS                       ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-4.177986,31.688251
0170,,222,,JORF                          ,,,,, 1   , 92   ,,, 1   , 92   ,,,,,,,,,,,-4.40132,31.490166
0171,,210,,MERZOUGA                      ,,,,, 3   , 6   ,,, 3   , 6   ,,,,,,,,,,,-4.016817,31.099173
0172,,219,,ALNIF                         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.168332,31.116043
0173,,210,,SEFFALATE                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.275262,31.243766
0174,,210,,ZRIGATE                       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.208182,31.651221
0175,,270,,FES AGDAL                     ,,,,, 9   , 146   ,,, 9   , 146   ,,,,,,,,,,,-5.003677,34.0424808
0176,,810,,RABAT GUICH LOUDAYA           ,,,,, 6   , 38   ,,, 6   , 38   ,,,,,,,,,,,-6.88662,33.9383499
0177,,420,,IFRANE                        ,,,,, 2   , 22   ,,, 2   , 22   ,,,,,,,,,,,-5.1078111,33.5288521
0178,,420,,IFRANE AL AKHAWAYN UNIVERSITY ,,,,, 1   , 10   ,,, 1   , 10   ,,,,,,,,,,,-5.106293,33.539597
0179,,420,,SOUK EL HAD OUED IFRANE       ,,,,, 1   , 2   ,,, 1   , 2   ,,,,,,,,,,,-5.489742,33.29464
0180,,825,,TEMARRA HAY MAGHRIB EL ARABI  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.8896991,33.9202287
0181,,825,,TEMARA MOULAY ALI CHERIF      ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.9059292,33.9324828
0182,,815,,SALE HSSAINE                  ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.7636997,34.0181627
0183,,815,,SALE HAY KARIMA               ,,,,, 1   , 16   ,,, 1   , 16   ,,,,,,,,,,,-6.7946014,34.0543327
0184,,330,,KENITRA KHABBAZATE            ,,,,, 1   , -     ,,, 1   , -     ,,,,,,,,,,,-6.5697894,34.2632373
0185,,330,,KENITRA TAIBIA                ,,,,, 1   , 10   ,,, 1   , 10   ,,,,,,,,,,,-6.5992923,34.2726379
0186,,810,,RABAT KAMRA                   ,,,,, 3   , 62   ,,, 3   , 62   ,,,,,,,,,,,-6.8738687,33.9909689
0189,,380,,KHENIFRA BOUFOULOUSSEN        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.6786791,32.9439373
0190,,386,,AIT ISHAK                     ,,,,, 5   , 35   ,,, 5   , 35   ,,,,,,,,,,,-5.726217,32.764673
0191,,385,,EL KEBAB                      ,,,,, 1   , 4   ,,, 1   , 4   ,,,,,,,,,,,-5.52401,32.741813
0192,,381,,AGUELMUS                      ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.844335,33.158546
0193,,382,,KAF NSOUR                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.960928,32.912725
0194,,380,,TIGHASSALINE                  ,,,,, 2   , 0   ,,, 2   , 0   ,,,,,,,,,,,-5.656862,32.782404
0195,,380,,SIDI YAHYA OU SAAD            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.575513,32.681703
0196,,380,,SOUK HAD BOUHSOUSSEN          ,,,,, 1   , 7   ,,, 1   , 7   ,,,,,,,,,,,-6.076217,33.147235
0197,,380,,OUAOUMANA                     ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.809316,32.709347
0198,,561,,TILOUINE                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.798614,31.640478
0199,,210,,ERRACHIDIA PRINCIPAL          ,,,,, 8   , 61   ,,, 8   , 61   ,,,,,,,,,,,-4.4252104,31.9331753
0200,,210,,P.A.FAR ERRACHIDIA            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.431331,31.927735
0201,,210,,ERRACHIDIA OULED EL HAJ       ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.4046968,31.9364463
0202,,212,,BOUDENIB                      ,,,,, 3   , 9   ,,, 3   , 9   ,,,,,,,,,,,-3.603698,31.948184
0203,,223,,GOULMIMA                      ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.954472,31.690632
0204,,315,,BENI TAJJITE                  ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-3.467978,32.293008
0205,,226,,TINEJEDAD                     ,,,,, 3   , 104   ,,, 3   , 104   ,,,,,,,,,,,-5.029775,31.510373
0206,,215,,ASSOUL                        ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-5.207951,31.948735
0207,,210,,ERRACHIDIA BOUTALAMINE        ,,,,, 5   ," 1,302   ",,, 5   ," 1,302   ",,,,,,,,,,,-4.4395548,31.9199992
0208,,210,,TADIGHOUST                    ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.960017,31.819199
0209,,225,,MELLAB                        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-4.851915,31.54661
0210,,321,,ASRIR OUED FERKLA             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-5.067433,31.500094
0211,,391,,MIDELT                        ,,,,, 5   , 7   ,,, 5   , 7   ,,,,,,,,,,,-4.7394177,32.6783414
