Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes chèques Nombre,Comptes chèques Montant,Comptes d'épargne Nombre,Comptes d'épargne  Montant,Dépôts à terme  Nombre,Dépôts à terme  Montant,Autres comptes Nombre,Autres comptes Montant, Total des comptes Nombre,Total des comptes Montant,Code GPS X,Code GPS Y
0097,,330,,KENITRA FAR                   ," 1,089   "," 4,767   ", 63   , 317   , -     , -     ,,," 1,152   "," 5,084   ",-6.604843,34.289346
0098,,330,,KENITRA 3EME BAFRA            ," 1,799   "," 10,825   ", 270   ," 2,414   ", 1   , 20   ,,," 2,070   "," 13,259   ",-6.605004,34.289187
0099,,330,,KENITRA EL MENZEH             , 443   ," 1,783   "," 1,210   "," 10,497   ", -     , -     ,,," 1,653   "," 12,280   ",-6.5210912,34.2522692
0100,,330,,KENITRA MAGHRIB AL ARABI      , 831   ," 4,161   "," 2,509   "," 14,732   ", -     , -     ,,," 3,340   "," 18,893   ",-6.6107105,34.2435925
0101,,810,,RABAT HAOUZIA                 ," 1,634   "," 11,045   "," 2,223   "," 17,399   ", 1   , 85   ,,," 3,858   "," 28,529   ",-6.6160709,34.2661012
0102,,332,,SIDI YAHIA GHARB              ," 4,242   "," 10,156   "," 11,521   "," 69,820   ", 1   , 28   ,,," 15,764   "," 80,004   ",-6.3078046,34.3098556
0103,,332,,S.YAHYA DU GHARB B.MILITAIRE  , -     , -     , 29   , 8   , -     , -     ,,, 29   , 8   ,-6.271434,34.297678
0104,,340,,ALLAL TAZI                    ," 1,733   "," 4,610   "," 4,026   "," 15,074   ", -     , -     ,,," 5,759   "," 19,684   ",-6.323774,34.52174
0105,,337,,DAR GUEDDARI                  ," 1,582   "," 4,140   "," 3,159   "," 19,654   ", 2   , 315   ,,," 4,743   "," 24,109   ",-6.0914362,34.4196906
0106,,330,,KENITRA NOUVELLE MEDINA       ," 3,813   "," 20,971   "," 11,513   "," 67,438   ", 1   , 300   ,,," 15,327   "," 88,708   ",-6.5611929,34.2589822
0107,,480,,AIN JEMAA                     , 599   ," 3,631   "," 1,909   "," 12,352   ", 1   , 35   ,,," 2,509   "," 16,018   ",-5.7976753,34.0275707
0108,,330,,KENITRA AL MASSIRA            ," 5,368   "," 16,313   "," 12,995   "," 57,526   ", -     , -     ,,," 18,363   "," 73,838   ",-6.55679,34.248575
0109,,270,,FES AIN KADOUS                ," 2,864   "," 20,863   "," 9,484   "," 60,725   ", -     , -     ,,," 12,348   "," 81,589   ",-5.0089073,34.0614058
0110,,276,,SEBA ROUADI                   , 500   ," 3,874   ", 972   ," 6,514   ", -     , -     ,,," 1,472   "," 10,388   ",-5.101164,34.033206
0111,,270,,FES SIDI BRAHIM               ," 6,472   "," 29,342   "," 11,021   "," 62,676   ", -     , -     ,,," 17,493   "," 92,018   ",-4.987101,34.027042
0112,,810,,RABAT SOUISSI                 ," 7,351   "," 47,145   "," 23,992   "," 162,470   ", 1   , 70   ,,," 31,344   "," 209,686   ",-6.8266672,33.9835942
0113,,121,,BOUZNIKA                      ," 3,246   "," 22,380   "," 9,431   "," 85,055   ", -     , -     ,,," 12,677   "," 107,435   ",-7.1611065,33.7884078
0114,,121,,BOUZNKA HAY RIAD              , 486   ," 1,419   ", 413   ," 3,726   ", -     , -     ,,, 899   ," 5,145   ",-7.158199,33.780226
0115,,822,,AIN AOUDA                     ," 3,307   "," 13,772   "," 9,059   "," 75,476   ", 1   , 45   ,,," 12,367   "," 89,293   ",-6.790836,33.80619
0116,,825,,TEMARA BASSATINE EL MENZEH    , 922   ," 13,545   ", 814   ," 12,255   ", -     , -     ,,," 1,736   "," 25,800   ",-6.853556,33.856914
0117,,815,,SALE HAY ESSALAM              ," 7,373   "," 73,615   "," 18,446   "," 127,778   ", 8   , 795   ,,," 25,827   "," 202,188   ",-6.7926742,34.0407127
0118,,810,,RABAT MADINAT AL IRFANE       ," 5,088   "," 56,031   "," 6,628   "," 27,152   ", -     , -     ,,," 11,716   "," 83,183   ",-6.8664471,33.9810031
0119,,821,,SKHIRATE                      ," 4,603   "," 26,653   "," 9,813   "," 80,120   ", -     , -     ,,," 14,416   "," 106,773   ",-7.03893,33.851836
0120,,821,,SKHIRATE PARA (FAR)           , 183   , 462   , 102   , 15   , -     , -     ,,, 285   , 476   ,-7.06257,33.861128
0121,,824,,BOUKNADEL                     ," 3,314   "," 14,407   "," 7,865   "," 49,845   ", -     , -     ,,," 11,179   "," 64,252   ",-6.739635,34.121913
0122,,124,,SIDI YAHIA ZAERS              ," 2,719   "," 14,659   "," 6,325   "," 46,848   ", -     , -     ,,," 9,044   "," 61,507   ",-6.90465,33.826202
0123,,810,,RABAT AL-INBIAT               ," 3,940   "," 22,556   "," 9,553   "," 80,668   ", -     , -     ,,," 13,493   "," 103,224   ",-6.810644,33.992321
0124,,272,,AIN CHEGAG                    , 649   ," 3,890   "," 2,941   "," 12,460   ", -     , -     ,,," 3,590   "," 16,349   ",-5.041861,33.8821423
0125,,281,,EL MENZEL                     ," 3,476   "," 25,639   "," 6,662   "," 47,238   ", 4   , 237   ,,," 10,142   "," 73,114   ",-4.545524,33.837959
0126,,276,,MOULAY YACOUB                 , 340   ," 1,160   "," 1,312   "," 5,787   ", -     , -     ,,," 1,652   "," 6,947   ",-5.178536,34.088653
0127,,283,,RAS TABOUDA                   , 577   ," 3,137   "," 1,758   "," 12,958   ", -     , -     ,,," 2,335   "," 16,095   ",-4.7138,34.004089
0128,,673,,TAFRANT                       , 265   , 774   ," 1,117   "," 10,507   ", -     , -     ,,," 1,382   "," 11,280   ",-5.124728,34.623982
0129,,281,,BIR TAMTAM                    , 636   ," 6,730   "," 1,126   "," 9,817   ", -     , -     ,,," 1,762   "," 16,547   ",-4.643885,33.982306
0130,,276,,SIDI AHMED EL BERNOUSSI       , 23   , 14   , 467   ," 3,298   ", -     , -     ,,, 490   ," 3,312   ",-4.997618,34.112457
0131,,287,,EL ADERJ                      , 134   ," 1,363   ", 497   ," 3,502   ", -     , -     ,,, 631   ," 4,865   ",-4.432053,33.6315
0132,,270,,FES DOKKARAT                  ," 3,448   "," 29,819   "," 7,842   "," 58,851   ", 1   , 120   ,,," 11,291   "," 88,790   ",-5.0190032,34.0411428
0133,,283,,TABOUDA                       , 145   , 874   ," 1,069   "," 8,444   ", -     , -     ,,," 1,214   "," 9,317   ",-5.135862,34.735419
0134,,810,,RABAT DAR EL HADITH           ," 3,078   "," 31,649   "," 5,768   "," 37,297   ", -     , -     ,,," 8,846   "," 68,946   ",-6.8489081,34.0161729
0135,,810,,RABAT RYAD                    ," 4,060   "," 82,115   "," 7,071   "," 96,242   ", -     , -     ,,," 11,131   "," 178,357   ",-6.8604926,33.9634694
0136,,270,,FES JNANATE                   ," 4,217   "," 35,304   "," 15,106   "," 83,205   ", 1   , 14   ,,," 19,324   "," 118,523   ",-4.9651659,34.0697959
0137,,815,,SALE SIDI MOUSSA              ," 4,323   "," 33,041   "," 12,062   "," 90,989   ", -     , -     ,,," 16,385   "," 124,030   ",-6.8104425,34.0538572
0138,,330,,MEHDYA                        ," 2,965   "," 15,254   "," 4,577   "," 32,617   ", 3   , 260   ,,," 7,545   "," 48,131   ",-6.6659492,34.2606703
0139,,815,,SALE BETTANA                  ," 2,837   "," 30,548   "," 8,376   "," 60,928   ", -     , -     ,,," 11,213   "," 91,476   ",-6.8088466,34.0296335
0140,,815,,"SALE K,O,MOUSSA               "," 4,821   "," 29,739   "," 15,514   "," 92,654   ", -     , -     ,,," 20,335   "," 122,393   ",-6.767144,34.02095
0141,,270,,FES BENSOUDA                  ," 7,486   "," 33,855   "," 24,652   "," 114,108   ", 2   , 69   ,,," 32,140   "," 148,032   ",-5.0539899,34.0171267
0142,,810,,RABAT AL MASSIRA              ," 15,796   "," 71,604   "," 21,048   "," 131,084   ", -     , -     ,,," 36,844   "," 202,688   ",-6.8869727,33.9770429
0143,,810,,RABAT NATIONS UNIES           ," 4,754   "," 44,582   "," 5,260   "," 57,042   ", 3   ," 1,920   ",,," 10,017   "," 103,544   ",-6.8456827,33.9939411
0144,,825,,TEMARRA MASSIRA               ," 5,461   "," 43,052   "," 16,572   "," 123,200   ", 6   , 455   ,,," 22,039   "," 166,707   ",-6.8977726,33.9266164
0145,,810,,RABAT ENNAHDA                 ," 4,058   "," 42,959   "," 8,093   "," 59,627   ", 3   ," 1,260   ",,," 12,154   "," 103,847   ",-6.8180493,33.9772197
0146,,810,,RABAT OCEAN                   ," 7,632   "," 89,601   "," 7,838   "," 56,829   ", -     , -     ,,," 15,470   "," 146,430   ",-6.8454185,34.0238071
0147,,270,,FES AL ADARISSA               ," 4,465   "," 35,187   "," 9,730   "," 72,838   ", 1   , 55   ,,," 14,196   "," 108,080   ",-5.0112704,34.019032
0148,,815,,SALA AL JADIDA                ," 12,578   "," 54,143   "," 10,278   "," 59,437   ", 2   , 62   ,,," 22,858   "," 113,641   ",-6.744174,33.99865
0149,,810,,RABAT HAY EL KHEIR            ," 3,592   "," 33,445   "," 10,387   "," 91,335   ", -     , -     ,,," 13,979   "," 124,781   ",-6.8743542,33.9974557
0150,,815,,SALE LâAYAYDA                 ," 4,818   "," 24,154   "," 13,924   "," 96,160   ", 1   , 45   ,,," 18,743   "," 120,359   ",-6.7727548,34.062028
0151,,815,,SALE BAB CHAFAA               ," 2,694   "," 17,111   "," 6,482   "," 45,891   ", -     , -     ,,," 9,176   "," 63,002   ",-6.8274102,34.0419985
0152,,270,,FES ZOHOR SAIS                ," 8,675   "," 43,653   "," 8,424   "," 62,668   ", 4   , 184   ,,," 17,103   "," 106,506   ",-4.9802345,34.0105502
0153,,270,,FES SOUNDOUS                  ," 2,597   "," 31,161   "," 4,849   "," 57,358   ", 1   , 100   ,,," 7,447   "," 88,619   ",-5.0325778,34.0583749
0154,,485,,AIN LEUH                      ," 1,112   "," 6,748   "," 2,626   "," 18,097   ", 1   , 15   ,,," 3,739   "," 24,859   ",-5.337145,33.28588
0155,,420,,SIDI ADDI                     , 933   ," 3,861   "," 3,045   "," 17,973   ", -     , -     ,,," 3,978   "," 21,834   ",-5.334021,33.396246
0156,,810,,RABAT DIOUR JAMAA             ," 2,390   "," 29,308   "," 1,558   "," 23,126   ", 4   , 790   ,,," 3,952   "," 53,224   ",-6.8480793,34.0139975
0157,,810,,RABAT AL MANZAH               ," 1,471   "," 24,628   "," 1,442   "," 21,385   ", 1   , 450   ,,," 2,914   "," 46,463   ",-6.8960895,33.9719614
0158,,480,,MEKNES AL MANSOUR             ," 3,465   "," 27,011   "," 4,061   "," 44,354   ", -     , -     ,,," 7,526   "," 71,365   ",-5.576849,33.8663644
0159,,480,,MEKNES HAY ECHOUHADA          ," 2,669   "," 30,135   "," 3,072   "," 36,790   ", -     , -     ,,," 5,741   "," 66,925   ",-5.5038661,33.8908996
0160,,425,,AZROU AHADAF                  ," 3,688   "," 32,384   "," 7,183   "," 48,695   ", -     , -     ,,," 10,871   "," 81,079   ",-5.2286232,33.4440875
0161,,425,,AZROU PRINCIPAL               ," 3,351   "," 21,944   "," 10,717   "," 49,295   ", -     , -     ,,," 14,068   "," 71,239   ",-5.219284,33.4440584
0162,,388,,MRIRT                         ," 6,227   "," 33,115   "," 9,502   "," 57,967   ", 1   , 20   ,,," 15,730   "," 91,102   ",-5.566442,33.1671751
0163,,388,,MRIRT BOULACHFAR              , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-5.569328,33.161530
0164,,380,,EL HAMMAM                     , 36   , 249   , 232   , 760   , -     , -     ,,, 268   ," 1,009   ",-5.470049,33.175042
0165,,427,,TIMAHDITE                     , 580   ," 1,904   "," 1,199   "," 6,076   ", -     , -     ,,," 1,779   "," 7,980   ",-5.059105,33.236772
0166,,810,,RABAT ANNAKHIL                ," 7,412   "," 58,946   "," 3,831   "," 51,723   ", 1   , 234   ,,," 11,244   "," 110,903   ",-6.864595,33.954417
0167,,218,,ERFOUD                        ," 5,374   "," 61,794   "," 7,649   "," 36,866   ", -     , -     ,,," 13,023   "," 98,660   ",-4.234211,31.434348
0168,,235,,RISSANI                       ," 4,651   "," 46,428   "," 7,402   "," 28,509   ", -     , -     ,,," 12,053   "," 74,937   ",-4.269374,31.283218
0169,,211,,AOUFOUS                       ," 1,605   "," 15,348   "," 3,086   "," 13,033   ", -     , -     ,,," 4,691   "," 28,381   ",-4.177986,31.688251
0170,,222,,JORF                          ," 1,308   "," 8,640   "," 3,705   "," 15,908   ", -     , -     ,,," 5,013   "," 24,548   ",-4.40132,31.490166
0171,,210,,MERZOUGA                      , 806   ," 10,793   ", 828   ," 6,471   ", -     , -     ,,," 1,634   "," 17,264   ",-4.016817,31.099173
0172,,219,,ALNIF                         ," 1,456   "," 10,103   "," 2,391   "," 6,142   ", -     , -     ,,," 3,847   "," 16,244   ",-5.168332,31.116043
0173,,210,,SEFFALATE                     , 263   ," 2,441   ", 503   ," 3,203   ", -     , -     ,,, 766   ," 5,644   ",-4.275262,31.243766
0174,,210,,ZRIGATE                       , 326   ," 3,444   ", 745   ," 1,505   ", -     , -     ,,," 1,071   "," 4,948   ",-4.208182,31.651221
0175,,270,,FES AGDAL                     ," 3,569   "," 35,519   "," 3,533   "," 34,899   ", 2   , 112   ,,," 7,104   "," 70,530   ",-5.003677,34.0424808
