Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
592,10,1600320,AGADIR ANZA                   ,1,,-9.6560812,30.4449184
611,21,1600831,INEZGANE PRINCIPAL            ,1,,-9.53311,30.3584111
657,750,11600046,TIZNIT BIR ANZARANE           ,1,,-9.7241234,29.690979
603,10,11600017,AGADIR HAY AL WAFA            ,1,,-9.5590979,30.4208528
628,761,1600757,IFNI PRINCIPAL                ,1,,-10.1725647,29.3831391
637,31,11600021,SEBT EL GUERDANE              ,1,,-9.018161,30.383135
596,10,1600532,TIKIOUINE                     ,1,,-9.5031926,30.3770485
645,41,1600260,TAROUDANNT                    ,1,,-8.8672382,30.4726237
584,10,1600370,AGADIR FOUNTY                 ,1,,-9.5901257,30.4018941
662,15,1600281,MASSA                         ,1,,-9.645341,29.991623
602,10,1600542,AGADIR PRINCIPAL              ,1,,-9.597514,30.420719
607,10,1600665,AGADIR EL KHIAM               ,1,,-9.5725036,30.4221712
583,18,11600226,EL KOLEA                      ,1,,-9.460967,30.297664
635,765,1600214,TAFRAOUTE                     ,1,,-8.974778,29.7203253
630,682,1600873,FAM EL HISN                   ,1,,-8.8874567,29.0131648
612,28,11600213,OULAD TEIMA                   ,1,,-9.2105703,30.3955482
597,320,1600778,GUELMIM PORTE  DU SAHARA      ,1,,-10.0486762,28.9990479
976,780,11600068,CASABLANCA DRISS EL HARTI,1,,-7.5740326,33.5478418
539,780,1600730,CASABLANCA BOUSMARA           ,1,,-7.6154539,33.6001739
929,110,1600347,BENSLIMANE FATH               ,1,,-7.129725,33.625028
554,780,1600547,CASA OUM RABIAA               ,1,,-7.6687293,33.5624435
541,780,1600574,CASABLANCA SIDI BERNOUSSI     ,1,,-7.509783,33.610549
544,780,1600686,CASABLANCA  EL HANK           ,1,,-7.6530048,33.603545
578,780,11600191,CASABLANCA ABDELMOUMEN        ,1,,-7.625316,33.577666
522,780,11600141,CASABLANCA AIN DIAB           ,1,,-7.6764138,33.5922627
574,780,1600389,CASA EL GUERNAOUI             ,1,,-7.4967675,33.6113513
1023,780,11600190,CASA AL MOUSTAKBAL,1,,-7.64969,33.52714
512,780,1600428,CASABLANCA SIDI AL KHADIR     ,1,,-7.6864949,33.568403
515,797,1600384,TIT MELLIL                    ,1,,-7.483618,33.5556364
572,780,1600392,CASA QUARTIER DES HOPITAUX    ,1,,-7.6155907,33.5778538
508,787,11600001,MOHAMMEDIA PRINCIPAL          ,1,,-7.3963899,33.7060582
523,780,1600713,CASABLANCA DERB SIDNA         ,1,,-7.604481,33.5766516
524,780,1600714,CASABLANCA EL FIDA            ,1,,-7.604631,33.567386
1024,780,1600892,CASABLANCA BOULEVARD TAH,1,,-7.58103,33.53374
543,793,1600732,MEDIOUNA                      ,1,,-7.520955,33.454745
564,787,1600886,MOHAMMEDIA LACOLLINE          ,1,,-7.373039,33.697717
530,780,1600694,CASABLANCA TAKADOUM           ,1,,-7.5667074,33.5864389
963,780,11600050,CASABLANCA ANASSI,1,,-7.4991449,33.5945039
1025,780,1600891,CASABLANCA BOULEVARD ESSMARA,1,,-7.59194,33.53864
975,780,1600729,CASABLANCA AL AZHAR,1,,-7.4842001,33.6008676
521,780,1600650,CASABLANCA BOURSE             ,1,,-7.6132478,33.5945081
1028,780,11600195,CASABLANCA AL AMAL,1,,-7.514559,33.605864
1017,780,11600183,CASABLANCA HADJ FATEH ,1,,-7.682732,33.540563
577,780,1600420,CASABLANCA SIDI SOUFI         ,1,,-7.6345124,33.6023365
928,111,1600849,FEDALATE                      ,1,,-7.30752,33.568732
1,810,11600087,Siege,1,,-6.8410666,34.0048949
570,780,1600733,CASABLANCA AHL LOGHLAM        ,1,,-7.4899131,33.6004498
1030,780,11600239,CASABLANCA ROUDANI,1,,-7.640374,33.574358
567,780,1600506,CASABLANCA  GHANDI            ,1,,-7.6443165,33.5696729
933,123,1600847,SIDI MOUSSA BEN ALI           ,1,,-7.373482,33.562633
505,780,1600390,CASABLANCA OASIS GARE         ,1,,-7.631612,33.554613
545,780,1600792,CASABLANCA SIDI MOUMEN        ,1,,-7.546299,33.578944
579,780,1600432,CASABLANCA TACHFINE           ,1,,-7.5733888,33.5849552
495,780,1600367,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
567,780,1600522,CASABLANCA  GHANDI            ,1,,-7.6443165,33.5696729
571,780,1600393,CASABLANCA AVENUE M6          ,1,,-7.5959033,33.5652272
553,780,1600887,CASABLANCA HAY ESSALAM        ,1,,-7.651012,33.570452
540,780,1600359,CASABLANCA CITE DJEMAA        ,1,,-7.56875,33.5509602
495,780,11600079,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
573,780,1600391,CASA MBNOUCEIR                ,1,,-7.6275815,33.591235
959,780,11600039,CASA HAY SEDRI NCR            ,1,,-7.558484,33.569181
1021,780,11600186,CASABLANCA OUED SEBOU,1,,-7.681621,33.551231
821,794,1600883,NOUACEUR                      ,1,,-7.547943,33.373548
578,780,1600439,CASABLANCA ABDELMOUMEN        ,1,,-7.625316,33.577666
496,780,1600549,CASA BACHKOU                  ,1,,-7.627379,33.5573374
506,780,11600042,CASABLANCA AIN SEBAA          ,1,,-7.5393261,33.6045872
495,780,1600681,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
497,780,11600018,CASABLANCA ENNASSIM           ,1,,-7.657811,33.519288
538,780,11600025,CASABLANCA BANDOENG           ,1,,-7.6072437,33.5925543
525,780,1600680,CASABLANCA MAARIF             ,1,,-7.636231,33.579941
537,780,1600731,CASABLANCA HAY EL FARAH       ,1,,-7.590724,33.567554
925,110,1600801,BENSLIMANE PPAL               ,1,,-7.1199131,33.6117668
580,780,11600203,CASABLANCA MEKDAD LAHRIZI     ,1,,-7.5617105,33.5437397
565,787,1600543,MOHAMMEDIA RACHIDIA           ,1,,-7.3759595,33.684155
550,780,1600712,CASABLANCA EL OULFA           ,1,,-7.6807416,33.557476
529,780,1600094,CASABLANCA ROCHES NOIRES      ,1,,-7.5841069,33.6003158
495,780,1600682,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
538,780,11600024,CASABLANCA BANDOENG           ,1,,-7.6072437,33.5925543
541,780,1600715,CASABLANCA SIDI BERNOUSSI     ,1,,-7.509783,33.610549
525,780,1600450,CASABLANCA MAARIF             ,1,,-7.636231,33.579941
520,780,1600793,CASABLANCA HAY MY RACHID      ,1,,-7.558347,33.5734962
498,780,11600019,CASABLANCA BOULEVARD 10 MARS  ,1,,-7.565329,33.561631
560,780,11600065,CASABLANCA AIN BORJA          ,1,,-7.583191,33.5845385
551,780,1600484,LISSASFA                      ,1,,-7.6726105,33.5316413
576,780,1600548,CASA AL HOUDA                 ,1,,-7.5245833,33.5823945
925,110,1600167,BENSLIMANE PPAL               ,1,,-7.1199131,33.6117668
500,780,11600002,CASA EMILE ZOLA               ,1,,-7.593441,33.595658
495,780,1600810,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
878,629,1600244,HAD SOUALEM                   ,1,,-7.8599668,33.4186679
517,780,1600600,CASABLANCA AIN CHOCK          ,1,,-7.5965993,33.556079
552,780,1600728,CASABLANCA DERB GHELLEF       ,1,,-7.6310765,33.5697025
552,780,11600081,CASABLANCA DERB GHELLEF       ,1,,-7.6310765,33.5697025
528,780,11600061,CASABLANCA GARE               ,1,,-7.591494,33.591075
535,780,1600184,CASABLANCA HAY INARA          ,1,,-7.5997174,33.5370676
555,780,11600201,CASABLANCA AIN SEBAA PLAGE    ,1,,-7.535739,33.619705
531,780,11600090,CASABLANCA SIDI OTHMANE       ,1,,-7.574118,33.55955
1035,780,11600266,CASABLANCA ALANDALOUS,1,,-7.498820,33.589848
513,792,1600718,DAR BOUAZZA                   ,1,,-7.817722,33.515659
1036,780,11600274,CASABLANCA HAY AL MASSIRA,1,,-7.534921,33.565695
558,780,11600269,CASA HAY JAMILA               ,1,,-7.571527,33.540814
545,780,11600067,CASABLANCA SIDI MOUMEN        ,1,,-7.546299,33.578944
549,787,1600344,MOHAMMEDIA HASSANIA           ,1,,-7.3904783,33.675602
511,780,11600094,CASABLANCA HAY HASSANI        ,1,,-7.6720848,33.5734179
514,791,1600330,BOUSKOURA                     ,1,,-7.650299,33.45643
547,780,1600326,CASABLANCA HAY EL BARAKA      ,1,,-7.54367,33.5687472
575,780,1600418,CASA ATTACHAROUK              ,1,,-7.5258064,33.5739275
510,787,11600098,MOHAMMEDIA ALIA               ,1,,-7.3908216,33.6868979
549,787,1600767,MOHAMMEDIA HASSANIA           ,1,,-7.3904783,33.675602
269,672,1600850,OURTZARH                      ,1,,-4.965852,34.535409
527,780,1600139,CASABLANCA OASIS              ,1,,-7.6338432,33.5568289
526,780,1600710,CASABLANCA MERSULTAN          ,1,,-7.61433,33.583673
524,780,11600271,CASABLANCA EL FIDA            ,1,,-7.604631,33.567386
533,793,1600797,CASA LAHRAOUYINE              ,1,,-7.54396,33.545121
516,780,1600283,CASABLANCA SIDI MAAROUF       ,1,,-7.6582325,33.5092924
568,780,11600093,CASABLANCA HAY SALAMA         ,1,,-7.5574901,33.5657122
978,625,11600074,SIDI RAHHAL PLAGE,1,,-7.956647,33.472091
562,780,1600185,CASABLANCA HAY SALMIA         ,1,,-7.5542325,33.5385688
566,780,1600306,CASABLANCA MçALLAH            ,1,,-7.593238,33.539446
541,780,11600200,CASABLANCA SIDI BERNOUSSI     ,1,,-7.509783,33.610549
509,787,11600097,MOHAMMADIA GARE               ,1,,-7.3874876,33.6965165
519,780,11600089,CASABLANCA BOURGOGNE          ,1,,-7.6373502,33.5950868
556,780,1600717,CASABLANCA DAR LAMANE         ,1,,-7.5585723,33.5932871
561,780,1600317,CASABLANCA 2 MARS             ,1,,-7.6110216,33.5687952
557,780,11600092,CASABLANCA KSAR LBHAR         ,1,,-7.5830367,33.5491115
563,780,1600190,CASABLANCA AL QODS            ,1,,-7.484764,33.617711
925,110,11600207,BENSLIMANE PPAL               ,1,,-7.1199131,33.6117668
507,796,1600332,AIN HARROUDA                  ,1,,-7.4497162,33.6366898
559,780,1600221,CASABLANCA HAY IFRIQUIA       ,1,,-7.587884,33.554474
499,780,11600013,CASA AIN SBAA AL HADIKA       ,1,,-7.5319467,33.6031976
901,590,1600525,SAFI AL MASSIRA               ,1,,-9.225643,32.2833935
785,70,11600162,AZILAL                        ,1,,-6.5660262,31.9674955
882,171,1600786,MOULAY ABDELLAH               ,1,,-8.58798,33.198697
888,170,1600369,EL JADIDA BOUCHRIT            ,1,,-8.5087891,33.2539771
886,170,1600595,EL JADIDA BIRANZARANE         ,1,,-8.4924316,33.2230587
881,175,1600248,SIDI BOUZID                   ,1,,-8.5519083,33.2302026
905,596,1600607,JEMAA SHAIM                   ,1,,-8.841151,32.354543
839,104,11600036,KASBA TADLA PPAL              ,1,,-6.2622714,32.5989812
860,411,1600398,OUED ZEM PPAL                 ,1,,-6.5706571,32.861495
796,615,1600226,BEN AHMED                     ,1,,-7.2434999,33.0664238
910,590,1600751,SAFI SIDI BOUDHAB             ,1,,-9.2432061,32.2970977
853,400,1600852,BOULANOUAR                    ,1,,-6.876921,32.856892
900,590,1600441,SAFI PPAL                     ,1,,-9.234803,32.294012
805,92,1600764,OULED YAICHE                  ,1,,-6.328113,32.4354365
990,621,11600165,BERRECHID HAY TISSIR,1,,-7.582803,33.274917
806,90,11600124,BENI MELLAL PPAL              ,1,,-6.3592816,32.3334411
839,104,1600817,KASBA TADLA PPAL              ,1,,-6.2622714,32.5989812
804,91,1600895,OULED MBARK                   ,1,,-6.455981,32.281142
898,187,1600356,OUALIDIA                      ,1,,-9.0336478,32.7345777
965,610,1600761,SETTAT HAY MIMOUNA,1,,-7.6276714,33.0049375
820,610,11600280,DEROUA OULED ZIANE            ,1,,-7.540778,33.374755
897,170,11600182,EL JADIDA PLATEAU             ,1,,-8.5163959,33.2495953
890,176,11600187,AZEMMOUR                      ,1,,-8.3432821,33.2887579
930,590,1600371,SAFI AZIB DRAI                ,1,,-9.219847,32.292944
900,590,11600221,SAFI PPAL                     ,1,,-9.234803,32.294012
887,170,11600027,EL JADIDA SAADA               ,1,,-8.5273916,33.2412359
866,610,1600588,SETTAT PRINCIPAL              ,1,,-7.620497,33.001954
869,626,1600770,EL BOUROUJ                    ,1,,-7.1909273,32.5068664
913,590,1600372,SAFI SIDI OUASSEL             ,1,,-9.250094,32.2568418
897,170,11600104,EL JADIDA PLATEAU             ,1,,-8.5163959,33.2495953
893,179,11600275,SIDI BENNOUR                  ,1,,-8.4233366,32.6494829
802,100,11600037,KHEMIS OULED AYAD             ,1,,-6.7999229,32.2003244
829,101,11600125,FKIH BEN SALAH PPAL           ,1,,-6.6869429,32.5049052
910,590,1600113,SAFI SIDI BOUDHAB             ,1,,-9.2432061,32.2970977
885,170,11600075,EL JADIDA PPAL                ,1,,-8.5019964,33.2513695
895,184,1600765,SIDI SMAIL                    ,1,,-8.5100887,32.8238099
894,185,1600322,OULED FREJ                    ,1,,-8.2217887,32.9565033
806,90,1600589,BENI MELLAL PPAL              ,1,,-6.3592816,32.3334411
900,590,11600222,SAFI PPAL                     ,1,,-9.234803,32.294012
1032,170,11600223,EL JADIDA BD MOHAMED RAFII ,1,,-8.508127,33.254221
965,610,1600762,SETTAT HAY MIMOUNA,1,,-7.6276714,33.0049375
835,108,1600537,HAD BRADIA SANABIL            ,1,,-6.540706,32.453595
960,179,11600263,SIDI BENNOUR AL MASSIRA       ,1,,-8.431192,32.648978
870,623,11600255,OULAD ABBOU                   ,1,,-7.937413,33.116657
923,590,1600342,SIDI AHMED                    ,1,,-8.495232,32.212649
819,621,11600250,BERRECHID YASMINA             ,1,,-7.5812638,33.263377
810,84,1600899,OUAOUIZERHT                   ,1,,-6.353901,32.158766
799,619,11600192,SIDI HAJJAJ                   ,1,,-7.265544,32.913112
989,170,11600156,EL JADIDA BD EL ALAOUIYNE,1,,-8.524398,33.23589
879,610,11600254,SETTAT SAMIR                  ,1,,-7.6102102,33.0019379
818,621,1600160,BERRECHID PPAL                ,1,,-7.588512,33.265857
1020,170,1600870,EL JADIDA BD IBN BADIS,1,,-8.504317,33.235794
889,170,1600890,EL JADIDA JOUHARA             ,1,,-8.4932175,33.2331664
831,90,1600433,SIDI AISSA BEN ALI            ,1,,-6.653021,32.342907
809,94,1600763,DAR OULED ZIDOUH              ,1,,-6.89751,32.308009
837,101,1600305,FKIH BEN SALAH GARE           ,1,,-6.687943,32.490189
829,101,1600479,FKIH BEN SALAH PPAL           ,1,,-6.6869429,32.5049052
830,95,1600408,SEBT OULED NEMMA              ,1,,-6.7012766,32.294479
823,621,1600345,BERRECHID HAY HASSANI         ,1,,-7.5737939,33.2694142
885,170,1600465,EL JADIDA PPAL                ,1,,-8.5019964,33.2513695
846,400,1600802,KHOURIBGA PPAL                ,1,,-6.9115699,32.8819433
906,607,11600149,YOUSSOUFIA                    ,1,,-8.5346429,32.2436692
819,621,11600044,BERRECHID YASMINA             ,1,,-7.5812638,33.263377
797,620,11600251,SOUK TLETA LOULAD             ,1,,-7.127895,32.991527
803,90,1600238,BENI MELLAL OULED HAMDANE     ,1,,-6.3675846,32.3361831
858,400,1600290,KHOURIBGA AL QODS             ,1,,-6.9301925,32.8854143
877,177,1600361,BIR JDID                      ,1,,-7.993892,33.375008
828,405,11600122,BEJJAAD PPAL                  ,1,,-6.3908833,32.770086
812,90,11600143,BENI MELLAL AIN ASSERDOUNE    ,1,,-6.3447252,32.3403803
876,610,1600287,SETTAT EL FARAH               ,1,,-7.6268452,33.008533
892,186,1600328,KHEMIS DES ZEMAMRA            ,1,,-8.6961696,32.625473
866,610,1600587,SETTAT PRINCIPAL              ,1,,-7.620497,33.001954
542,622,1600255,EL GARA                       ,1,,-7.234859,33.274971
846,400,1600292,KHOURIBGA PPAL                ,1,,-6.9115699,32.8819433
839,104,1600159,KASBA TADLA PPAL              ,1,,-6.2622714,32.5989812
885,170,11600142,EL JADIDA PPAL                ,1,,-8.5019964,33.2513695
833,90,1600279,BENI MELLAL HAY MOHAMMADI     ,1,,-6.358777,32.346993
845,96,1600284,EL KSIBA MASSIRA              ,1,,-6.032983,32.567178
860,411,11600123,OUED ZEM PPAL                 ,1,,-6.5706571,32.861495
785,70,1600471,AZILAL                        ,1,,-6.5660262,31.9674955
786,70,11600175,AZILAL MEDINA                 ,1,,-6.579115,31.955394
964,400,1600855,KHOURIBGA AL AMAL,1,,-6.927817,32.890159
844,104,11600247,KASBA TADLA HAY BOUDRAA       ,1,,-6.2794651,32.6005404
890,176,11600072,AZEMMOUR                      ,1,,-8.3432821,33.2887579
865,411,1600677,OUED ZEM AL WAHDA             ,1,,-6.5779822,32.8591767
846,400,11600253,KHOURIBGA PPAL                ,1,,-6.9115699,32.8819433
811,85,1600223,AFOURER                       ,1,,-6.5315974,32.2119568
844,104,1600460,KASBA TADLA HAY BOUDRAA       ,1,,-6.2794651,32.6005404
855,400,11600121,KHOURIBGA ZELLAGA             ,1,,-6.9160492,32.8880789
924,590,1600362,SAFI SIDI ABDELKRIM           ,1,,-9.2343977,32.3070072
824,405,1600760,BEJJAAD 11 JANVIER            ,1,,-6.39606,32.769197
1011,270,1600794,Aarsat Azaytoune,1,,-5.040423,33.990374
175,270,1600385,FES AGDAL                     ,1,,-5.003677,34.0424808
52,270,11600281,FES JEDID                     ,1,,-4.9899495,34.0545705
290,690,1600136,TAZA PRINCIPAL                ,1,,-4.0073705,34.2219948
245,141,1600634,IMOUZZER MARMOUCHA            ,1,,-4.294565,33.471216
42,270,1600515,FES LOUIZATE                  ,1,,-4.9560625,34.0588771
38,270,1600568,FES PRINCIPAL                 ,1,,-4.998991,34.041105
298,701,1600407,TIZI OUZLI                    ,1,,-3.794304,34.7625
308,690,1600845,HAD OULAD ZBAIR               ,1,,-4.3211,34.288894
265,146,1600222,OUTAT EL HAJ                  ,1,,-3.704002,33.344253
244,140,1600337,BOULEMANE                     ,1,,-4.731637,33.366037
1038,270,11600278,FES AL BARAKA,1,,-5.053255,33.997375
983,270,11600083,FES ZOUAGHA,1,,-5.035893,34.021644
987,690,11600076,TAZA MOULAY YOUSSEF,1,,-4.011048,34.213368
263,144,1600131,MISSOUR                       ,1,,-3.9889357,33.0471446
54,270,11600004,FES AL QODS                   ,1,,-4.969941,34.018582
111,270,11600115,FES SIDI BRAHIM               ,1,,-4.987101,34.027042
310,690,11600119,TAZA GARE                     ,1,,-4.0099025,34.2306316
1,810,1600877,Siege,1,,-6.8410666,34.0048949
43,270,1600528,FES NARJIS                    ,1,,-4.9735934,34.0171045
109,270,11600117,FES AIN KADOUS                ,1,,-5.0089073,34.0614058
267,140,1600848,TINDIT                        ,1,,-3.622272,33.663659
296,690,1600134,TAZA HAUT                     ,1,,-4.0143375,34.2088853
250,703,11600179,GUERCIF                       ,1,,-3.351134,34.223686
53,270,1600551,FES ATLAS                     ,1,,-4.9942061,34.0322942
283,664,1600879,TAHAR SOUK                    ,1,,-4.276232,34.653955
442,586,11600011,DEBDOU                        ,1,,-3.040861,33.984148
132,270,1600195,FES DOKKARAT                  ,1,,-5.0190032,34.0411428
47,675,11600232,TISSA                         ,1,,-4.6610088,34.2866561
45,281,1600503,RIBT EL KHAIR                 ,1,,-4.407359,33.814511
250,703,1600116,GUERCIF                       ,1,,-3.351134,34.223686
124,272,11600229,AIN CHEGAG                    ,1,,-5.041861,33.8821423
961,270,11600055,FES HAY TAREK                 ,1,,-5.0239921,34.0279441
126,276,1600585,MOULAY YACOUB                 ,1,,-5.178536,34.088653
38,270,1600436,FES PRINCIPAL                 ,1,,-4.998991,34.041105
38,270,1600470,FES PRINCIPAL                 ,1,,-4.998991,34.041105
292,696,1600343,AKNOUL                        ,1,,-3.865407,34.654771
262,715,1600623,ZERARDA                       ,1,,-4.376646,33.975985
39,270,11600035,FES AL FADILA                 ,1,,-5.0449461,34.015068
337,346,11600245,AIN DORIJ                     ,1,,-5.289788,34.613528
270,671,1600402,RHAFSAI                       ,1,,-4.9142897,34.6314997
41,270,11600003,FES LES MERINDES              ,1,,-4.9914784,34.0692759
281,660,1600868,TAOUNATE ASTAR                ,1,,-4.648767,34.549348
136,270,1600196,FES JNANATE                   ,1,,-4.9651659,34.0697959
147,270,1600262,FES AL ADARISSA               ,1,,-5.0112704,34.019032
46,665,1600266,KARIA BA MED                  ,1,,-5.2091718,34.3663764
259,690,1600858,MATMATA                       ,1,,-4.550582,34.099305
50,270,1600363,FES EL KARAOUIYINE            ,1,,-4.9737543,34.0655076
274,281,1600596,SEFROU BAB MEKAM              ,1,,-4.836959,33.832031
53,270,1600618,FES ATLAS                     ,1,,-4.9942061,34.0322942
153,270,1600199,FES SOUNDOUS                  ,1,,-5.0325778,34.0583749
258,288,1600264,IMOUZZER KANDAR               ,1,,-5.010278,33.728808
290,690,1600545,TAZA PRINCIPAL                ,1,,-4.0073705,34.2219948
141,270,11600116,FES BENSOUDA                  ,1,,-5.0539899,34.0171267
49,270,11600227,FES BETHA                     ,1,,-4.9822945,34.0609869
44,270,1600823,FES FAR                       ,1,,-4.981742,34.037724
48,274,11600225,SIDI HARAZEM                  ,1,,-4.881816,34.02932
247,140,11600231,ALMIS GUIGOU                  ,1,,-4.829714,33.382917
747,552,11600234,IGHREM NOUGDAL                ,1,,-7.421109,31.229521
260,711,1600875,TAHALA                        ,1,,-4.425707,34.047595
125,281,1600267,EL MENZEL                     ,1,,-4.545524,33.837959
40,270,1600535,FES GARE                      ,1,,-5.005458,34.0470457
250,703,1600062,GUERCIF                       ,1,,-3.351134,34.223686
284,677,1600846,AIN AICHA                     ,1,,-4.689169,34.46145
152,270,11600114,FES ZOHOR SAIS                ,1,,-4.9802345,34.0105502
38,270,1600683,FES PRINCIPAL                 ,1,,-4.998991,34.041105
269,672,1600851,OURTZARH                      ,1,,-4.965852,34.535409
957,270,1600514,FES AL WIFAK                  ,1,,-5.0269801,34.0193454
51,270,1600130,FES FEKHARINE                 ,1,,-4.9638207,34.0639756
265,146,11600256,OUTAT EL HAJ                  ,1,,-3.704002,33.344253
263,144,11600155,MISSOUR                       ,1,,-3.9889357,33.0471446
38,270,1600043,FES PRINCIPAL                 ,1,,-4.998991,34.041105
953,270,1600624,FES BENDEBBAB                 ,1,,-4.999246,34.065041
282,660,11600118,TAOUNATE PPAL                 ,1,,-4.6383334,34.5373537
260,711,1600268,TAHALA                        ,1,,-4.425707,34.047595
272,281,1600619,SEFROU                        ,1,,-4.8389277,33.8260102
290,690,1600458,TAZA PRINCIPAL                ,1,,-4.0073705,34.2219948
770,430,1600521,LAAYOUNE PORT                 ,1,,-13.415124,27.097588
780,530,1600462,DAKHLA PAL                    ,1,,-15.930047,23.700744
772,430,1600539,LAAYOUNE HAY AMAL             ,1,,-13.168619,27.13084
982,530,11600086,DAKHLA AL WAKALA,1,,-15.951808,23.701667
765,430,11600262,LAAYOUNE 4EME BAFRA           ,1,,-13.219471,27.138438
778,130,1600252,BOUJDOUR                      ,1,,-14.482306,26.127382
780,530,11600168,DAKHLA PAL                    ,1,,-15.930047,23.700744
1016,430,1600867,LAAYOUNE HAY MOULAY RACHID,1,,-13.19362,27.145794
782,530,11600199,DAKHLA FAR                    ,1,,-13.219471,27.138438
